ID,Array
40,"[0.0, 0.0, -2.710505431213761e-20, 4.336808689942018e-19, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.235164736271502e-22, 3.3881317890172014e-21, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
41,"[0.0, -1.0842021724855044e-19, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.3552527156068805e-20, 0.0, 6.776263578034403e-21, 2.6469779601696886e-23, 0.0, 0.0, -6.776263578034403e-21, -1.0587911840678754e-22, 0.0]"
42,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -3.308722450212111e-24, -1.6543612251060553e-24, 0.0, 2.117582368135751e-22, 0.0, 0.0, -1.3552527156068805e-20, 0.0, 0.0, 0.0]"
43,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.293955920339377e-23, 8.470329472543003e-22, -6.617444900424222e-24, 0.0, -5.293955920339377e-23, 0.0, 0.0, 0.0, -6.776263578034403e-21, -3.3881317890172014e-21]"
44,"[0.0, 6.776263578034403e-21, 0.0, 0.0, 0.0, 0.0, 0.0, -5.421010862427522e-20, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6940658945086007e-21, 0.0, 0.0, 1.6940658945086007e-21, -6.617444900424222e-24, 8.470329472543003e-22, 0.0]"
45,"[0.0, -3.3881317890172014e-21, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.0587911840678754e-22, 0.0, 5.293955920339377e-23, 8.470329472543003e-22, -8.470329472543003e-22, 0.0, -6.776263578034403e-21, 8.470329472543003e-22, -3.3881317890172014e-21, 0.0]"
46,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2.117582368135751e-22, -1.0587911840678754e-22, 0.0, 0.0, 0.0, 1.3552527156068805e-20]"
47,"[0.0, 0.0, 1.0842021724855044e-19, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -1.6940658945086007e-21, 0.0, 2.117582368135751e-22, 0.0, 0.0, -1.0587911840678754e-22, 0.0, 2.117582368135751e-22, 0.0]"
48,"[0.0, -2.117582368135751e-22, 0.0, 0.0, 0.0, 0.0, -1.0587911840678754e-22, -6.617444900424222e-24, 2.6469779601696886e-23, 2.6469779601696886e-23, 1.6940658945086007e-21, 0.0, 1.6940658945086007e-21, 0.0, 0.0, 3.3881317890172014e-21, 0.0, 1.6940658945086007e-21, 0.0, 3.3881317890172014e-21]"
49,"[0.0, -3.3881317890172014e-21, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2.117582368135751e-22, 6.776263578034403e-21, 0.0, 0.0, 2.6469779601696886e-23, 0.0, 0.0, -2.117582368135751e-22, 0.0, 0.0, 8.470329472543003e-22]"
50,"[0.0, -4.336808689942018e-19, 0.0, 0.0, 0.0, 0.0, -2.168404344971009e-19, 0.0, 0.0, 0.0, 0.0, 3.3881317890172014e-21, 1.6940658945086007e-21, 4.235164736271502e-22, -1.0587911840678754e-22, 0.0, 0.0, 6.776263578034403e-21, 0.0, 0.0]"
51,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.776263578034403e-21, 0.0, 0.0, -2.710505431213761e-20, -4.235164736271502e-22, 0.0, 0.0, 0.0, 0.0, -3.3881317890172014e-21]"
52,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.710505431213761e-20, 0.0, 0.0, 0.0, -6.776263578034403e-21, 1.6940658945086007e-21, 0.0, 0.0, 0.0, 0.0, -3.3881317890172014e-21, 0.0, 0.0]"
53,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -2.117582368135751e-22, 0.0, 0.0, 0.0, -8.470329472543003e-22, 8.470329472543003e-22, 6.776263578034403e-21, 0.0, 0.0, -2.710505431213761e-20]"
54,"[0.0, 4.336808689942018e-19, 0.0, 1.0842021724855044e-19, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.3881317890172014e-21, 0.0, -1.6940658945086007e-21, 8.470329472543003e-22, 0.0, 0.0, -1.6940658945086007e-21, 2.6469779601696886e-23, -2.117582368135751e-22, 0.0]"
55,"[0.0, 3.3881317890172014e-21, 3.3881317890172014e-21, 0.0, -2.6469779601696886e-23, 8.470329472543003e-22, 0.0, 0.0, 0.0, 3.3881317890172014e-21, 3.3881317890172014e-21, 0.0, 3.3881317890172014e-21, 0.0, 4.235164736271502e-22, -2.117582368135751e-22, 0.0, 0.0, 0.0, -1.3234889800848443e-23]"
56,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 6.617444900424222e-24, 0.0, 0.0, 0.0, -6.776263578034403e-21, 0.0, 0.0, 0.0, 0.0, 0.0]"
57,"[0.0, 0.0, 0.0, 0.0, -2.117582368135751e-22, 0.0, -6.617444900424222e-24, 1.6543612251060553e-24, 0.0, 0.0, 0.0, 0.0, 0.0, 1.3552527156068805e-20, 0.0, -1.6940658945086007e-21, 0.0, 0.0, -2.117582368135751e-22, 2.710505431213761e-20]"
58,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -5.293955920339377e-23, 0.0, 0.0, 3.3881317890172014e-21, 0.0, 1.3552527156068805e-20, 0.0]"
59,"[0.0, 0.0, 0.0, -1.0842021724855044e-19, 0.0, 0.0, -5.421010862427522e-20, -2.710505431213761e-20, 0.0, 0.0, 0.0, 4.235164736271502e-22, 0.0, 1.3552527156068805e-20, 0.0, -6.776263578034403e-21, 8.470329472543003e-22, 0.0, 0.0, 1.3552527156068805e-20]"
60,"[0.0, 5.421010862427522e-20, 0.0, 0.0, 0.0, 6.776263578034403e-21, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 3.3881317890172014e-21, 0.0, -1.3234889800848443e-23, 0.0, 1.3552527156068805e-20, 0.0, 0.0, 8.470329472543003e-22]"
61,"[2.710505431213761e-20, -2.710505431213761e-20, 0.0, -2.168404344971009e-19, 0.0, 0.0, 0.0, 0.0, -6.776263578034403e-21, 0.0, 0.0, 0.0, 6.776263578034403e-21, -6.776263578034403e-21, -1.6940658945086007e-21, -6.776263578034403e-21, 0.0, 0.0, 0.0, 8.470329472543003e-22]"
